﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿Change;Excluded;Name;Original;en;es-latam
;;Mika;"I could re-use the same colors for the
other two, or we could have three different ones!";"I could re-use the same colors for the
other two, or we could have three different ones!";"Si quieres, podemos usar los mismos colores
para las otras, o usar otros. Depende de ti."
;;;Different outfits;Different outfits;Outfits diferentes
;;;Re-use colors;Re-use colors;Outfits iguales
;;Mika;Okay! Let's get started with Jiyu!;Okay! Let's get started with Jiyu!;Vale, comencemos con Jiyu.
;;Mika;"Here's my drawing of Jiyu! She's the lead vocalist,
and the other lead dancer!";"Here's my drawing of Jiyu! She's the lead vocalist,
and the other lead dancer!";"Esta es Jiyu. Ella es la vocalista,
Y bailarina líder del grupo."
;;Mika;Okay, what color should her hair be?;Okay, what color should her hair be?;¿De qué color debería ser su cabello?
;;Mika;Right, red is a great option!;Right, red is a great option!;Rojo corazón, me agrada.
;;Mika;Right, yellow is a great option!;Right, yellow is a great option!;Amarillo también le cae bien.
;;Mika;Right, brown is a great option!;Right, brown is a great option!;Un marrón castaño no está nada mal.
;;Mika;Right, cyan is a great option!;Right, cyan is a great option!;Cian, ¿eh? Ese sí que me gusta.
;;Mika;"That looks great!
They look so shiny ...";"That looks great!
They look so shiny ...";"¡Quedó fantástico!
¡Se ve tan radiante!"
;;Mika;And now her outfit! What could be the main color?;And now her outfit! What could be the main color?;"Bien, ahora su outfit. ¿Cuál debería ser
el color principal?"
;;Mika;That works!;That works!;Perfecto
;;Mika;And finally, the second color for her outfit?;And finally, the second color for her outfit?;Okey, ¿qué otro color más te gustaría?
;;Mika;I'm really happy with how this one turned out!;I'm really happy with how this one turned out!;Caramba, qué bien que quedó.
;;Mika;One more member left!;One more member left!;Solo queda una miembro más.
;;Mika;"Here's Haeri. She is the leader of Stray Kats, and
the main vocalist and rapper!";"Here's Haeri. She is the leader of Stray Kats, and
the main vocalist and rapper!";"Presentando a la vocalista y rapera principal
de Blackrose: ¡Haeri!"
;;Mika;What color for the hair?;What color for the hair?;"Bueno, aquí vamos una última vez.
¿Color de cabello?"
;;Mika;Yes! That looks good!;Yes! That looks good!;¡Bien, bien! Ay, está quedando hermosa.
;;Mika;Hmm, it looks okay.;Hmm, it looks okay.;Okey, supongo que está bien.
;;Mika;"Not that it's bad, but I think another color
would have been better!";"Not that it's bad, but I think another color
would have been better!";"No está mal pero... quizá le caería mejor
otro color."
;;Mika;And now her eye color ...;And now her eye color ...;¿Color de ojos?
;;Mika;Okay, I like this ...;Okay, I like this ...;Oh, están lindos...
;;Mika;And the main color of the outfit?;And the main color of the outfit?;¿Color primario de outfit?
;;Mika;Yeah, that's good!;Yeah, that's good!;¡Liisto!
;;Mika;And finally! The second color ...;And finally! The second color ...;Y finalmente, el color secundario...
;;Mika;It looks great, I love how she looks here!;It looks great, I love how she looks here!;¡Me encanta, me encanta, me encanta!
;;Mika;We're finally done!;We're finally done!;Uff, finalmente acabamos.
;;Mika;"Alright, give me a second to fill in the other
members ...";"Alright, give me a second to fill in the other
members ...";"Okey, dame un segundito para pintar a las otras."
;;Mika;"\etalk[9]That looks amazing!\.
Thank you so much for your help!";"\etalk[9]That looks amazing!\.
Thank you so much for your help!";"\etalk[9]¡Quedaron SÚPER increíbles! En serio.\.
Muchas gracias por ayudarme."
;;Mika;\etalk[9]I want to give you this, as a little thank you!;\etalk[9]I want to give you this, as a little thank you!;"\etalk[9]Quiero darte esto como agradecimiento."
;;Mika;"\etalk[9]It's a CD from Stray Kats, the group I was
drawing!";"\etalk[9]It's a CD from Stray Kats, the group I was
drawing!";"\etalk[9]Es un CD de música de Blackrose. Escúchalo y luego
me cuentas qué te pareció."
;;Mika;\etalk[9]I'll see ya around!;\etalk[9]I'll see ya around!;\etalk[9]Bueno, nos vemos por ahí.
;;Mika;\etalk[9]Thanks again!;\etalk[9]Thanks again!;"\etalk[9]Y gracias de nuevo por tu ayuda.
Ahora sí, byyye."
;;Mika;"\etalk[9]I was thinking of posting it online, do you
think Stray Kats might see it?";"\etalk[9]I was thinking of posting it online, do you
think Stray Kats might see it?";"\etalk[9]Pensaba subirlo a mis redes. ¿Crees que
alguien de Blackrose lo vería?"
;;;The door is locked.;The door is locked.;La puerta está cerrada.
;;;"I guess they wouldn't want random students
entering the teacher's lounge.";"I guess they wouldn't want random students
entering the teacher's lounge.";"Parece que no quieren que ningún estudiante
entre en la sala de profesores."
;;;"Despite being really curious about what’s behind
the door,\. it’s still locked.";"Despite being really curious about what’s behind
the door,\. it’s still locked.";""
;;;Nope, still locked.;Nope, still locked.;
;;;You try to open the door.;You try to open the door.;
;;;"You’ve given it everything,\. but the door remains
closed.";"You’ve given it everything,\. but the door remains
closed.";
;;;It's a toolbox, filled with all kinds of tools.;It's a toolbox, filled with all kinds of tools.;
;;;"Cool ""Guy"" McCoolson";"Cool ""Guy"" McCoolson";
;;"Cool ""Guy"" McCoolson";"\etalk[24]I'm actually supposed to be in class
right now...";"\etalk[24]I'm actually supposed to be in class
right now ...";
;;"Cool ""Guy"" McCoolson";\etalk[24]... But I'd rather stay with Tuffy.;\etalk[24]... But I'd rather stay with Tuffy.;
;;;Tuffy;Tuffy;
;;Tuffy;\etalk[25]Awesome.;\etalk[25]Awesome.;
;;;Vee;Vee;Vee
;;Vee;What do you want? You've got something to say?;What do you want? You've got something to say?;¿Y tú qué quieres?
;;Vee;Wasting my time ...;Wasting my time ...;Cielos, este mocoso...
;;Vee;"What is your problem?
That was really loud!";"What is your problem?
That was really loud!";"Hey, ¿cuál es tu problema?
¡No ves que haces mucho ruido!"
;;;Do you want some tea?;Do you want some tea?;¿Te apetece un té?
;;Vee;...\| Tea?;...\| Tea?;...\| ¿Té?
;;Vee;"Why would you offer me tea?\|
I mean, I'd really like that ...";"Why would you offer me tea?\|
I mean, I'd really like that ...";"¿Así sin más?\|
Bueno, sí quisiera un poco, pero..."
;;Vee;... But why? You don't even know me.;... But why? You don't even know me.;"... Ni siquiera me conoces.
¿Por qué me ofrecerías un té?"
;;;It looks like you need it;It looks like you need it;Parece que lo necesitas
;;;Thought you might like it;Thought you might like it;Pensé que te gustaría
;;Vee;"You know, I used to love tea ...\|
My grandma used to make it for me all the time.";"You know, I used to love tea ...\|
My grandma used to make it for me all the time.";"Mmm... Mi abuela solía prepararme té a menudo.\|
Ni te imaginas cuán delicioso era."
;;Vee;"Thanks ...\. I suppose.\|
I'm sorry I was acting mean and stuff ...";"Thanks ...\. I suppose.\|
I'm sorry I was acting mean and stuff ...";"Bueno, gracias...\. Supongo.\|
Disculpa si fui un poco ruda al principio."
;;Vee;"I used to get pushed around a lot when
I was younger.";"I used to get pushed around a lot when
I was younger.";"Así es como fui tratada desde pequeña."
;;Vee;"The taller kids would always pick on me, so I
started defending myself, but it's tough.";"The taller kids would always pick on me, so I
started defending myself, but it's tough.";"Los más grandes siempre se metían conmigo, así
que tuve que aprender a defenderme por mí misma."
;;Vee;"I'm really not mean-hearted, but it's kinda become
second nature to act this way.";"I'm really not mean-hearted, but it's kinda become
second nature to act this way.";"No es que sea así todo el tiempo; creo que es más
un mecanismo de defensa."
;;Vee;"I actually really enjoy reading and writing 
poetry, it used to be my only way to escape.";"I actually really enjoy reading and writing 
poetry, it used to be my only way to escape.";"Mi única escapatoria solía ser la poesía. De hecho,
aún me encanta leer y escribir algunos versos."
;;Vee;... I could share some of my work if you'd like.;... I could share some of my work if you'd like.;"... Si quieres te puedo mostrar algunos poemas
que escribí."
;;;I love poetry;I love poetry;Adoro la poesía
;;Vee;... You do?;... You do?;¿En serio?
;;Vee;I guess I'm not the only one here!;I guess I'm not the only one here!;¡Pensé que era la única aquí!
;;Vee;Here you go.;Here you go.;Aquí tienes.
;;Vee;"Thanks for the tea, I'll have to try it out once
I'm home ...";"Thanks for the tea, I'll have to try it out once
I'm home ...";"Bueno, gracias por el té. Prepararé un poco
al llegar a casa."
;;Vee;Could you please stop that?;Could you please stop that?;¿Puedes parar?
;;;Tripp;Tripp;
;;Tripp;I've been sitting here for God knows how long.;I've been sitting here for God knows how long.;
;;Tripp;"I could stand up anytime I want to, but it just feels
nice sitting here.";"I could stand up anytime I want to, but it just feels
nice sitting here.";
;;;Aria;Aria;Aria
;;Aria;"I hate the stuff they play on the radio, that 'pop'
stuff is overrated.";"I hate the stuff they play on the radio, that 'pop'
stuff is overrated.";"Detesto cuando ponen esa basura 'pop' en la
radio TODO el tiempo. ¡Qué desperdicio!"
;;Aria;"I've got mixtapes of the best underground bands,
and unlike the stuff you hear on radio, it's good.";"I've got mixtapes of the best underground bands,
and unlike the stuff you hear on radio, it's good.";"Si quieres, te puedo mostrar algunas joyitas
poco conocidas, ¿qué dices?"
;;;I've got something underground;I've got something underground;Traje algunas
;;Aria;"Really? It better be something I know, like
Blue Day.";"Really? It better be something I know, like
Blue Day.";"¿Ah, de verdad? Pues ponlas. Puntos extra si
son tipo Blue Day."
;;Aria;"K-pop? You call this underground?
This is gonna suck ...";"K-pop? You call this underground?
This is gonna suck ...";"¿K-pop? ¿Es en serio? Caray, pensé que pondrías
algo más underground o algo así..."
;;Aria;You know what? This doesn't sound terrible ...;You know what? This doesn't sound terrible ...;Mmm... Creo que no suena taan mal...
;;Aria;Yeah! I might be into this stuff! K-pop!;Yeah! I might be into this stuff! K-pop!;Ja. Creo que podría llegar a gustarme.
;;Aria;Where did you get this CD?;Where did you get this CD?;¿Dónde conseguiste ese CD?
;;;Mika gave it;Mika gave it;Mika me lo dio
;;;I found it;I found it;Solo lo encontré
;;Aria;"I might have to go talk to her about it!\|
I mean ...\.\. have a chat with her.";"I might have to go talk to her about it!\|
I mean ...\.\. have a chat with her.";"Mmm...\| Quizá vaya a preguntarle si tiene más...\.
Digo...\. a conversar sobre nuestros gustos."
;;Aria;... She seems cool.;... She seems cool.;... Parece buena onda. 
;;Aria;No way, this is like a hidden gem!;No way, this is like a hidden gem!;"¿En serio? Qué suerte. A veces es difícil
encontrar joyitas como esta."
;;Aria;...\| I mean, yeah. It's cool.;...\| I mean, yeah. It's cool.;...\| O sea, creo que no está mal.
;;Aria;Yeah, this is good music.;Yeah, this is good music.;Sí, está muy buena.
;;Aria;...\. Okay.;...\. Okay.;...\. Okey.
;;;Potato;Potato;Papita
;;Potato;yes yes yes i am but a small potato boy;yes yes yes i am but a small potato boy;ajá, sí, eso, soy un chico papita
;;Potato;yes yes this is some groovy music;yes yes this is some groovy music;ay, está buenisisísima
;;Potato;potato boy enjoys;potato boy enjoys;a papita le encanta
;;Potato;potato boy thinks the trumpet is funny;potato boy thinks the trumpet is funny;papita piensa que la trompeta se oye graciosa
;;Potato;haha toot;haha toot;
;;;"""Yeahhh!
Society sucks, love hurts, screw everything!""";"""Yeahhh!
Society sucks, love hurts, screw everything!""";
;;;Insert CD;Insert CD;
;;Aria;Hey! What do you think you're doing?;Hey! What do you think you're doing?;
;;Aria;"K-pop? Are you serious?\!
Stop touching my boombox!";"K-pop? Are you serious?\!
Stop touching my boombox!";
;;;"The lyrics are in Korean, with the occasional
English sentences.";"The lyrics are in Korean, with the occasional
English sentences.";
;;;The Twins;The Twins;Los Gemelos
;;The Twins;\etalk[11]Hey! It's you, dude!;\etalk[11]Hey! It's you, dude!;
;;The Twins;"\etalk[11]Well, our ball broke while we were playing
with it!";"\etalk[11]Well, our ball broke while we were playing
with it!";
;;The Twins;\etalk[11]Hell yeah!;\etalk[11]Hell yeah!;
;;;John;John;
;;John;Hi.;Hi.;
;;John;I'm John.;I'm John.;
;;John;We have been expecting you.;We have been expecting you.;
;;;What?;What?;
;;John;...\. You're not John, are you?;...\. You're not John, are you?;
;;John;Most people aren't.;Most people aren't.;
;;John;... But maybe you could be.;... But maybe you could be.;
;;John;You just need to prove you can be.;You just need to prove you can be.;
;;John;What do you think?;What do you think?;
;;;How do I become John;How do I become John;
;;John;Very well.;Very well.;
;;John;"You'll have to overcome some challenges to prove
you're worthy.";"You'll have to overcome some challenges to prove
you're worthy.";
;;John;Take this.;Take this.;
;;John;It's a John Meter.;It's a John Meter.;
;;John;It fills up whenever you complete these challenges.;It fills up whenever you complete these challenges.;
;;John;I'll see you tomorrow for the first challenge.;I'll see you tomorrow for the first challenge.;
;;John;Ok;Ok;
;;;Handy;Handy;Handy
;;Handy;"I should probably go to school soon, or I might
get expelled...";"I should probably go to school soon, or I might
get expelled ...";"Creo que mejor entrop de una vez, si no puedo
ser expulsado..."
;;Handy;Looks like I didn't get caught.;Looks like I didn't get caught.;Parece que ningún profesor me vio.
;;;Here I am again, at school.;Here I am again, at school.;Bueno, aquí me encuentro... de nuevo.
;;;Same walls, same air...;Same walls, same air ...;Las mismas paredes, la misma atmósfera...
;;;...\. and that same feeling.;...\. and that same feeling.;...\. y aquella misma sensación.
;;;"I thought I would have left it behind by now,\.
but there must be a reason I'm back here.";"I thought I would have left it behind by now,\.
but there must be a reason I'm back here.";"Pense que ya lo había superado, pero no.\.
Debe haber una buena razón para estar aquí de nuevo."
;;;Maybe this white sheet will help.;Maybe this white sheet will help.;Tal vez esta manta blanca ayude.
;;;"After I picked out a movie, I lit up and let the haze
settle in while I watched.";"After I picked out a movie, I lit up and let the haze
settle in while I watched.";"Luego, encendí un cigarrillo y me quedé observando
los hilos de humo que se formaban."
;;;"I don't remember how much I did, which could mean
I lost track ...";"I don't remember how much I did, which could mean
I lost track ...";"No recuerdo mucho de lo que pasó después... es
como si me hubiera desconectado de todo."
;;;I haven't had any thoughts in a while.;I haven't had any thoughts in a while.;Mi mente ha estado en blanco últimamente.
;;;"But now that I am thinking, I can't seem to
remember anything.";"But now that I am thinking, I can't seem to
remember anything.";No logro recordar casi nada...
;;;"However, looking at this shelf, I remember picking
out a movie to watch.";"However, looking at this shelf, I remember picking
out a movie to watch.";"Pero, ahora que veo esta estantería, recuerdo
escoger una de sus películas."
;;;"I think it was about a guy who built a time
machine out of a DeLorean...";"I think it was about a guy who built a time
machine out of a DeLorean ...";"Era sobre un chico que volvió en el tiempo
en un DeLorean..."
;;;"I think it was about a kid who was left behind
during the holidays...";"I think it was about a kid who was left behind
during the holidays ...";"Era sobre una chica que atraviesa una puerta en
la pared, creo que se llamaba Caroline..."
;;;"I think it was about a superhero who got their
powers from a radioactive bug bite...";"I think it was about a superhero who got their
powers from a radioactive bug bite ...";"Era sobre un chico que fue mordido por una
araña..."
;;;"I think it was about a battle in a galaxy far,
far away...";"I think it was about a battle in a galaxy far,
far away ...";"Era sobre naves espaciales y armas láser en
un lugar muy muy lejano."
;;;"I think it was about a guy who started a club with a
friend about fighting...";"I think it was about a guy who started a club with a
friend about fighting ...";"Era sobre un lugar mágico llamado Terabithia que
dos chicos crean como escape de la realidad..."
;;;What input are you using?;What input are you using?;Seleccione un método de entrada:
;;;Keyboard;Keyboard;Teclado
;;;Playstation Controller;Playstation Controller;Control de Playstation
;;;Xbox Controller;Xbox Controller;Control de Xbox
;;;"You can enable Reduced Cutscenes to reduce the
speed and lights of some cutscenes.";"You can enable Reduced Cutscenes to reduce the
speed and lights of some cutscenes.";"¿Habilitar Cinemáticas Reducidas para reducir
la duración y el brillo de algunas escenas?"
;;;Enable;Enable;Habilitar
;;;Disable;Disable;Deshabilitar
;;;The air is dry, and sucking the life out of my lungs.;The air is dry, and sucking the life out of my lungs.;"Siento como si me asfixiara cada vez que
intento inhalar este aire seco."
;;;I feel everything at a maximum.;I feel everything at a maximum.;Es como si pudiera sentirlo todo a mi alrededor...
;;;And I feel nothing at the same time.;And I feel nothing at the same time.;Todo, y al mismo tiempo, nada.
;;;All these whispers ...;All these whispers ...;Las voces...
;;;They're still haunting me after everything.;They're still haunting me after everything.;Aún siguen atormentándome.
;;;How much longer can I keep running from them?;How much longer can I keep running from them?;¿Por cuánto tiempo más tendré que lidiar con ellas?
;;;"I feel myself free, almost swimming through
the air.";"I feel myself free, almost swimming through
the air.";"Me siento libre, en paz... como si
flotara a la deriva en la inmensidad."
;;;I could lay here forever.;I could lay here forever.;"No me importaría quedarme recostado aquí
para siempre."
;;;I ...\| might be going ... \|soon ...;I ...\| might be going ... \|soon ...;Tal vez...\| sea hora de partir...\| dentro de poco...
;;;"The next thing I knew, the movie was over, and
time seemed to have slipped away from me.";"The next thing I knew, the movie was over, and
time seemed to have slipped away from me.";"Cuando al fin reaccioné, la película había terminado
hace varias horas."
;;;I wonder what happened to the clock's arms.;I wonder what happened to the clock's arms.;¿Qué les habrá pasado a sus manecillas?
;;;"Then, I might have gone to bed, and passed out on
my thoughts.";"Then, I might have gone to bed, and passed out on
my thoughts.";"Luego, me fui a mi cama y debo haberme quedado
dormido mientras pensaba."
;;;Which leads me here, wherever this might be.;Which leads me here, wherever this might be.;Y de alguna forma, acabé aquí tirado.
;;;"...\| I don't think it's a dream, since I'm clearly
thinking, and everything feels pretty real.";"...\| I don't think it's a dream, since I'm clearly
thinking, and everything feels pretty real.";"...\| No creo que todo esto sea un sueño;
se siente demasiado real para serlo."
;;;It's a kettle, filled with water.;It's a kettle, filled with water.;
;;;Fill the cup;Fill the cup;Llenar taza
;;;The basketball is too far away for you to reach.;The basketball is too far away for you to reach.;"La pelota de baloncesto está demasiado lejos
para que la alcances."
;;;A big closet.;A big closet.;-------------------------------------------
;;Worm;i don't know how i got here ...;i don't know how i got here ...;¿cómo llegue aquí?
;;;It's an empty cup.;It's an empty cup.;Es una taza vacía.
;;;Vinnie;Vinnie;Vinnie
;;Vinnie;...\. Why are you looking at me like that?;...\. Why are you looking at me like that?;...\. ¿Qué me miras?
;;Vinnie;"Hey, you better not snitch on me.
I know people who can screw you up.";"Hey, you better not snitch on me.
I know people who can screw you up.";"¡Hey, no vayas a estar andando de soplón, eh!
A menos que quieras que te haga la vida imposible."
;;Vinnie;"Yeah, I already checked all the stalls for toilet
paper.";"Yeah, I already checked all the stalls for toilet
paper.";"Sí, ya he buscado, pero no encontré más."
;;;I did my best.;I did my best.;Hice lo que pude.
;;Vinnie;Thanks for helping out.;Thanks for helping out.;Gracias por ayudar.
;;Vinnie;Why are you playing that in the restroom?;Why are you playing that in the restroom?;----------------------------------------
;;;I don't need to go now.;I don't need to go now.;------------------------------------------------
;;;Lucas;Lucas;Lucas
;;Lucas;Hello? Anyone? The toilet paper's gone!;Hello? Anyone? The toilet paper's gone!;"¿Hay alguien ahí? Es que se acabó el papel
de baño."
;;Lucas;"Hey! You! Could you please get me some toilet
paper?";"Hey! You! Could you please get me some toilet
paper?";"Oye, ¿crees que me podrías traer más papel?
Por favor."
;;Lucas;"Vinnie already checked the other stalls here
and they're all empty!";"Vinnie already checked the other stalls here
and they're all empty!";"Vinnie ya revisó todo el baño y no encontró
ningún papel."
;;Lucas;"Could you please try to get some toilet paper?
Maybe the women's room has some extra!";"Could you please try to get some toilet paper?
Maybe the women's room has some extra!";"Debe haber más en el baño de mujeres. Por favor,
te lo ruego. Solo necesito un rollo."
;;Lucas;Hey, did you get the toilet paper?;Hey, did you get the toilet paper?;¿Lograste conseguir más papel?
;;Lucas;Great, throw it over the door.;Great, throw it over the door.;"Uf, qué alivio. Pásalo por debajo de
la puerta porfa."
;;Lucas;Thanks man, appreciate it.;Thanks man, appreciate it.;"Gracias, amigo. Me salvaste de una buena"
;;Lucas;Hey! I can hear you leaving!;Hey! I can hear you leaving!;¡Hey! ¡¿Adónde vas?!
;;;The sink doesn't even work.;The sink doesn't even work.;El lavamanos está averiado.
;;Lucas;"Thanks for saving me dude, I've been stuck there
for a couple of hours now ...";"Thanks for saving me dude, I've been stuck there
for a couple of hours now ...";"No sé cómo agradecerte. Llevaba unas horas
atrapado ahí. Era una tortura."
;;Lucas;Uhhh...;Uhhh ...;Ah...
;;Lucas;Nice?;Nice?;Okey?
;;Lucas;"Thanks for saving me dude, I've been stuck there
for a couple of hours now...";"Thanks for saving me dude, I've been stuck there
for a couple of hours now ...";"No sé cómo agradecerte. Llevaba unas horas
atrapado ahí. Era una tortura."
;;;Coach;Coach;
;;Coach;\etalk[3]Wrong! You're doing it wrong!;\etalk[3]Wrong! You're doing it wrong!;
;;;Jaxon;Jaxon;
;;Jaxon;This? Yeah, it's a full 5 kg.;This? Yeah, it's a full 5 kg.;
;;Jaxon;"You probably think that's impressive already, but 
last week I managed to do 100 grams extra!";"You probably think that's impressive already, but 
last week I managed to do 100 grams extra!";
;;The Twins;\etalk[5]Hi! We're the twins!;\etalk[5]Hi! We're the twins!;\etalk[5]¡Yo, bro! ¡Somos los gemelos!
;;The Twins;"\etalk[5]You probably noticed that we kinda look like
each other ...";"\etalk[5]You probably noticed that we kinda look like
each other ...";"\etalk[5]Seguro notaste que nos parecemos demasiado..."
;;The Twins;\etalk[5]... and that's because we're twins!;\etalk[5]... and that's because we're twins!;\etalk[5]Obvio, ¡somos gemelos!
;;The Twins;"\etalk[5]Hey,\. you wouldn't happen to know where our
basketball is?";"\etalk[5]Hey,\. you wouldn't happen to know where our
basketball is?";"\etalk[5]Hey,\. hace poco perdimos nuestra pelota
de baloncesto, ¿la has visto?"
;;;I don't think so;I don't think so;Creo que no
;;The Twins;"\etalk[5]Nuts, it was signed by Tyler 'T-Bolt' Jackson
himself!";"\etalk[5]Nuts, it was signed by Tyler 'T-Bolt' Jackson
himself!";"\etalk[5]Rayos, ¡estaba firmada por el mismísimo
Michael 'The Alien' Wembanyama!"
;;The Twins;\etalk[5]He's like our hero!;\etalk[5]He's like our hero!;"\etalk[5]Bro, ¿ya viste los pases que hace?
¡Son de otro planeta!"
;;The Twins;"\etalk[5]...\| Bro, now that I think about it, didn't that
janitor take our ball yesterday?";"\etalk[5]...\| Bro, now that I think about it, didn't that
janitor take our ball yesterday?";"\etalk[5]Momento...\| ¿No fue el conserje quien nos
confiscó la pelota ayer?"
;;The Twins;\etalk[5].\..\..\| Oh yeaaah!;\etalk[5].\..\..\| Oh yeaaah!;\etalk[5].\..\..\| ¡Es verdaaa!
;;The Twins;\etalk[5]I think the janitor's closet is locked though ...;\etalk[5]I think the janitor's closet is locked though ...;"\etalk[5]Tiene que estar en el cuarto de limpieza.\.
Pero seguro está con llave."
;;The Twins;"\etalk[5]If you do happen to get our ball, we'd really
appreciate it!";"\etalk[5]If you do happen to get our ball, we'd really
appreciate it!";\etalk[5]Ojalá alguien pudiera entrar y sacarla de ahí.
;;The Twins;"\etalk[5]You look pretty busy, we'll stop bothering
you now!";"\etalk[5]You look pretty busy, we'll stop bothering
you now!";\etalk[5]Bueno, bro, fue cool hablar contigo.
;;The Twins;\etalk[5]We'll be happy to talk to you later!;\etalk[5]We'll be happy to talk to you later!;\etalk[5]Nos vemos por ahí. ¡Byeeee!
;;;I have it;I have it;Está aquí
;;The Twins;\etalk[5]No way! He found our ball!;\etalk[5]No way! He found our ball!;\etalk[5]¡Hey, la encontraste!
;;The Twins;\etalk[5]Could we like, have it back?;\etalk[5]Could we like, have it back?;\etalk[5]¿Nos la das?
;;The Twins;\etalk[5]Awesome, bro! Thanks a lot!;\etalk[5]Awesome, bro! Thanks a lot!;\etalk[5]¡Genial!
;;The Twins;\etalk[5]Hey bro, let's go play with our ball outside!;\etalk[5]Hey bro, let's go play with our ball outside!;\etalk[5]Hey, vamos a jugar afuera.
;;The Twins;\etalk[5]Good idea, man!;\etalk[5]Good idea, man!;\etalk[5]¡Ahí voy!
;;The Twins;\etalk[5]Come on bro, it's our ball ...;\etalk[5]Come on bro, it's our ball ...;\etalk[5]¿Eh? ¡Pero es nuestra...!
;;;Alright;Alright;Okay
;;The Twins;\etalk[5]Uhh ... That's not our ball!;\etalk[5]Uhh ... That's not our ball!;\etalk[5]Bro, esa no es nuestra pelota.
;;The Twins;"\etalk[5]We appreciate the effort, but our
ball was signed by our hero!";"\etalk[5]We appreciate the effort, but our
ball was signed by our hero!";"\etalk[5]Gracias y todo, pero nuestra pelota estaba
firmada por Wenby."
;;The Twins;"\etalk[5]The janitor took ours! It's probably
in his closet!";"\etalk[5]The janitor took ours! It's probably
in his closet!";"\etalk[5]¡El conserje se llevó la nuestra! Debe estar
en el cuarto de limpieza."
;;;You threw away the old basketball.;You threw away the old basketball.;Dejaron caer la pelota que les traje.
;;The Twins;"\etalk[5]The janitor took our ball, so it's probably
in his closet.";"\etalk[5]The janitor took our ball, so it's probably
in his closet.";"\etalk[5]El conserje debe haber puesto la nuestra en
el cuarto de limpieza."
;;;I found your ball;I found your ball;Encontré su pelota
;;;Kai;Kai;
;;Kai;"\etalk[6]I'm so good at soccer it's insane how many
matches I've won I should join the professionals";"\etalk[6]I'm so good at soccer it's insane how many
matches I've won I should join the professionals";
;;;Rob;Rob;
;;Rob;I\| \{AM\| \{TRYING\| \{MY BEST!;I\| \{AM\| \{TRYING\| \{MY BEST!;
;;;Trumpeter;Trumpeter;Trompetista
;;Trumpeter;"How could this even happen? I swear I looked
everywhere.";"How could this even happen? I swear I looked
everywhere.";
;;;What's wrong?;What's wrong?;
;;Trumpeter;"I've lost my trumpet! I was carrying it to school,
went to the restroom and couldn't find it anymore!";"I've lost my trumpet! I was carrying it to school,
went to the restroom and couldn't find it anymore!";
;;Trumpeter;"I guess I'll have to order another one, but it's a 
shame because they're not cheap...";"I guess I'll have to order another one, but it's a 
shame because they're not cheap ...";
;;;I could help;I could help;
;;;That's a shame;That's a shame;
;;Trumpeter;"I would really appreciate that, altough I have
looked in every place and found nothing.";"I would really appreciate that, altough I have
looked in every place and found nothing.";
;;Trumpeter;Yes, it really is.;Yes, it really is.;
;;Trumpeter;"...\| Well, if you do end up finding it, be sure to let
me know.";"...\| Well, if you do end up finding it, be sure to let
me know.";
;;Trumpeter;If you do find it, then be sure to let me know.;If you do find it, then be sure to let me know.;
;;;I think I found it;I think I found it;
;;Trumpeter;You have?;You have?;
;;Trumpeter;Oh my god! I can't believe it, my trumpet!;Oh my God! I can't believe it, my trumpet!;¡Genial! ¡La encontraste!
;;Trumpeter;Dude, thank you so much! I really thought I'd lost it!;Dude, thank you so much! I really thought I'd lost it!;"Uff. Por un momento pense que tendría que
comprar otra."
;;Trumpeter;"Actually, if you have time, do you wanna have
a lil jam?";"Actually, if you have time, do you wanna have
a lil jam?";"Hey, ¿qué tal si hacemos algo de música
ya que estamos por aquí?"
;;Trumpeter;"You hop on the keyboard, and I'll play
something on my trumpet! ";"You hop on the keyboard, and I'll play
something on my trumpet! ";"¡Tú le das al teclado y yo te acompaño
con mi trompeta!"
;;Trumpeter;"Yeah, that's a great idea!
Let me know if you're up!";"Yeah, that's a great idea!
Let me know if you're up!";"Es una buena idea, ¿eh?
Anímate."
;;Trumpeter;Hey, is that my trumpet?;Hey, is that my trumpet?;¡Mi trompeta!
;;;Yeah;Yeah;Sí
;;Trumpeter;"Hop on the keyboard and we can have a
jam session!";"Hop on the keyboard and we can have a
jam session!";¿Qué dices? ¿Te animas a tocar el teclado?
;;Trumpeter;You ready to jam?;You ready to jam?;¿Tas listo?
;;Trumpeter;"Alright, key is in C major.
Bring it on!";"Alright, key is in C major.
Bring it on!";"Okay, quiero que toques en do mayor.
¡Vamos, lucete!"
;;Trumpeter;That was awesome! Nice job buddy!;That was awesome! Nice job buddy!;¡Bravísimo! ¡Vaya que te luciste ahí, eh!
;;;"It's a poster of one of my favorite albums as
a child.";"It's a poster of one of my favorite albums as
a child.";
;;;I would listen to it on repeat for hours.;I would listen to it on repeat for hours.;
;;;It's a stand for sheet music.;It's a stand for sheet music.;
;;;Gabriel;Gabriel;
;;Gabriel;Woohoo! Books!;Woohoo! Books!;
;;Gabriel;I don't even know how to read!;I don't even know how to read!;
;;Gabriel;"I'm just looking at the words!\.
They're kinda funny!";"I'm just looking at the words!\.
They're kinda funny!";
;;;Pedestrian;Pedestrian;
;;Pedestrian;Hi, are you here to join the School Book Club?;Hi, are you here to join the School Book Club?;
