﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿Change;Excluded;Name;Original;en;es-latam
;;;Rob;Rob;
;;Rob;I\| \{AM\| \{TRYING\| \{MY BEST!;I\| \{AM\| \{TRYING\| \{MY BEST!;
;;;Trumpeter;Trumpeter;
;;Trumpeter;"How could this even happen? I swear I looked
everywhere.";"How could this even happen? I swear I looked
everywhere.";
;;;What's wrong?;What's wrong?;
;;Trumpeter;"I've lost my trumpet! I was carrying it to school,
went to the restroom and couldn't find it anymore!";"I've lost my trumpet! I was carrying it to school,
went to the restroom and couldn't find it anymore!";
;;Trumpeter;"I guess I'll have to order another one, but it's a 
shame because they're not cheap...";"I guess I'll have to order another one, but it's a 
shame because they're not cheap ...";
;;;I could help;I could help;
;;;That's a shame;That's a shame;
;;Trumpeter;"I would really appreciate that, altough I have
looked in every place and found nothing.";"I would really appreciate that, altough I have
looked in every place and found nothing.";
;;Trumpeter;Yes, it really is.;Yes, it really is.;
;;Trumpeter;"...\| Well, if you do end up finding it, be sure to let
me know.";"...\| Well, if you do end up finding it, be sure to let
me know.";
;;Trumpeter;If you do find it, then be sure to let me know.;If you do find it, then be sure to let me know.;
;;;I think I found it;I think I found it;
;;Trumpeter;You have?;You have?;
;;Trumpeter;Oh my god! I can't believe it, my trumpet!;Oh my God! I can't believe it, my trumpet!;
;;Trumpeter;Dude, thank you so much! I really thought I'd lost it!;Dude, thank you so much! I really thought I'd lost it!;
;;Trumpeter;"Actually, if you have time, do you wanna have
a lil jam?";"Actually, if you have time, do you wanna have
a lil jam?";
;;Trumpeter;"You hop on the keyboard, and I'll play
something on my trumpet! ";"You hop on the keyboard, and I'll play
something on my trumpet! ";
;;Trumpeter;"Yeah, that's a great idea!
Let me know if you're up!";"Yeah, that's a great idea!
Let me know if you're up!";
;;Trumpeter;Hey, is that my trumpet?;Hey, is that my trumpet?;
;;;Yeah;Yeah;
;;Trumpeter;"Hop on the keyboard and we can have a
jam session!";"Hop on the keyboard and we can have a
jam session!";
;;Trumpeter;You ready to jam?;You ready to jam?;
;;Trumpeter;"Alright, key is in C major.
Bring it on!";"Alright, key is in C major.
Bring it on!";
;;Trumpeter;That was awesome! Nice job buddy!;That was awesome! Nice job buddy!;
;;;"It's a poster of one of my favorite albums as
a child.";"It's a poster of one of my favorite albums as
a child.";
;;;I would listen to it on repeat for hours.;I would listen to it on repeat for hours.;
;;;It's a stand for sheet music.;It's a stand for sheet music.;
;;;Gabriel;Gabriel;
;;Gabriel;Woohoo! Books!;Woohoo! Books!;
;;Gabriel;I don't even know how to read!;I don't even know how to read!;
;;Gabriel;"I'm just looking at the words!\.
They're kinda funny!";"I'm just looking at the words!\.
They're kinda funny!";
;;;Pedestrian;Pedestrian;
;;Pedestrian;Hi, are you here to join the School Book Club?;Hi, are you here to join the School Book Club?;
;;Pedestrian;Well I'm sorry, but the club is currently full.;Well I'm sorry, but the club is currently full.;
;;Pedestrian;"You can try again tomorrow.\|
Or the day after tomorrow.";"You can try again tomorrow.\|
Or the day after tomorrow.";
;;Pedestrian;... Or whenever we have space for more.;... Or whenever we have space for more.;
;;Pedestrian;Good, because the club is already full.;Good, because the club is already full.;
;;;She seems to be looking at the bookshelves.;She seems to be looking at the bookshelves.;
;;;Interrupt;Interrupt;
;;;Hazel;Hazel;
;;Hazel;"\etalk[5]Oh ...\. I'm sorry ...\.
I'm in your way, aren't I?";"\etalk[5]Oh ...\. I'm sorry ...\.
I'm in your way, aren't I?";
;;;I wanted to give you this;I wanted to give you this;
;;;Nevermind;Nevermind;
;;Hazel;\etalk[5]Huh?;\etalk[5]Huh?;
;;Hazel;"\etalk[5]Oh, thank you ...\|
I wasn't expecting that. ";"\etalk[5]Oh, thank you ...\|
I wasn't expecting that. ";
;;Hazel;\etalk[5]...\. Did you write these?;\etalk[5]...\. Did you write these?;
;;;Vee did;Vee did;
;;Hazel;\etalk[5]...\. These are nice.;\etalk[5]...\. These are nice.;
;;Hazel;"\etalk[5]I'll have to read these in detail when I have 
the time.";"\etalk[5]I'll have to read these in detail when I have 
the time.";
;;Hazel;\etalk[5]...\| I didn't know she was into this kinda stuff.;\etalk[5]...\| I didn't know she was into this kinda stuff.;
;;Hazel;"\etalk[5]...\| It isn't bad.
It actually has a bit of charm.";"\etalk[5]...\| It isn't bad.
It actually has a bit of charm.";
;;Hazel;"\etalk[5]Thank you for giving this to me.
I really ...\| appreciate it.";"\etalk[5]Thank you for giving this to me.
I really ...\| appreciate it.";
;;;Librarian;Librarian;
;;Librarian;\etalk[6]Hi, try to be as quiet as possible please!;\etalk[6]Hi, try to be as quiet as possible please!;
;;;"It's full of books.\.
Read one?";"It's full of books.\.
Read one?";
;;;You grab a book and open a random page.;You grab a book and open a random page.;
;;;"""Our Memories""";"""Our Memories""";
;;;"""Some believe there’s a hidden part of the mind
that doesn’t think, it only remembers.""";"""Some believe there’s a hidden part of the mind
that doesn’t think, it only remembers.""";
;;;"""It holds the moments we can’t face, storing them
deep beneath the surface.""";"""It holds the moments we can’t face, storing them
deep beneath the surface.""";
;;;"""It's not really you, but a part that lives
inside you.""";"""It's not really you, but a part that lives
inside you.""";
;;;"""Drugs That Change Us""";"""Drugs That Change Us""";
;;;"""Some substances shift how we see the world.""";"""Some substances shift how we see the world.""";
;;;"""The shapes change, colors are vibrant, and
memories come loose from time.""";"""The shapes change, colors are vibrant, and
memories come loose from time.""";
;;;"""A few say they’ve seen things that shouldn’t exist,
but felt more real than anything else.""";"""A few say they’ve seen things that shouldn’t exist,
but felt more real than anything else.""";
;;;"""Maybe it’s just another layer we’re not meant
to see.""";"""Maybe it’s just another layer we’re not meant
to see.""";
;;;"""The Darkness Underneath Our Bodies""";"""The Darkness Underneath Our Bodies""";
;;;"""Regret sinks deeper than most feelings, hiding in
a place most people never dare to look.""";"""Regret sinks deeper than most feelings, hiding in
a place most people never dare to look.""";
;;;"""Some who enter learn to forgive what they find.""";"""Some who enter learn to forgive what they find.""";
;;;"""Others never come back. The weight pulls hard
if you’re not ready.""";"""Others never come back. The weight pulls hard
if you’re not ready.""";
;;;"""Meow""";"""Meow""";
;;;"""Meow.\! Meow.\! Meow.\! Meow.\! Meow.\! Meow.""";"""Meow.\! Meow.\! Meow.\! Meow.\! Meow.\! Meow.""";
;;;"You flip through the pages and see the only words
in this book are meow.";"You flip through the pages and see the only words
in this book are meow.";
;;;"""Whispers Between Us""";"""Whispers Between Us""";
;;;"""He reached for her hand, but paused, afraid that
the moment might shatter if he moved too fast.""";"""He reached for her hand, but paused, afraid that
the moment might shatter if he moved too fast.""";
;;;"""I don’t know if this will last, he whispered.""";"""I don’t know if this will last, he whispered.""";
;;;"""Maybe it doesn’t have to, she said softly.""";"""Maybe it doesn’t have to, she said softly.""";
;;;"""They then kissed.""";"""They then kissed.""";
;;;"""Emotions: How We Should Understand Them""";"""Emotions: How We Should Understand Them""";
;;;"""Some emotions last so long they stop being
feelings and start becoming things.""";"""Some emotions last so long they stop being
feelings and start becoming things.""";
;;;"""Loneliness is the most stubborn of them.""";"""Loneliness is the most stubborn of them.""";
;;;"""It learns to wait, to listen, to grow.""";"""It learns to wait, to listen, to grow.""";
;;;"""How to Become a Millionaire in 7 Days!""";"""How to Become a Millionaire in 7 Days!""";
;;;"""Tired of being poor?
Just follow these simple steps!""";"""Tired of being poor?
Just follow these simple steps!""";
;;;"""Step 1: Have a Million Dollars.""";"""Step 1: Have a Million Dollars.""";
;;;You decide to stop reading.;You decide to stop reading.;
;;;Jeffrey;Jeffrey;
;;Jeffrey;\etalk[4]Oh, man ...\| I just can't ...\. move ...\. right now ...;\etalk[4]Oh, man ...\| I just can't ...\. move ...\. right now ...;
;;Jeffrey;\etalk[4]I just need ...\| a break ...;\etalk[4]I just need ...\| a break ...;
;;Jeffrey;\etalk[4]I ...\| oh god ...;\etalk[4]I ...\| oh god ...;
;;Jeffrey;\etalk[4]My calming tea ...\| I need water ...;\etalk[4]My calming tea ...\| I need water ...;
;;Jeffrey;\etalk[4]Could you ...\| go to the janitor's closet ...;\etalk[4]Could you ...\| go to the janitor's closet ...;
;;;I'll help;I'll help;
;;;I can't right now;I can't right now;
;;Jeffrey;\etalk[4]Here's the ...\. key ...;\etalk[4]Here's the ...\. key ...;
;;Jeffrey;\etalk[4]Come back ...\. later ...;\etalk[4]Come back ...\. later ...;
;;Jeffrey;\etalk[4]Please ...\| be quick ...;\etalk[4]Please ...\| be quick ...;
;;Jeffrey;\etalk[4]Did you get i-it?;\etalk[4]Did you get i-it?;
;;Jeffrey;\etalk[4]This is just ...\| an empty cup ...;\etalk[4]This is just ...\| an empty cup ...;
;;Jeffrey;\etalk[4]C-could you ...\| fill it? Please ...;\etalk[4]C-could you ...\| fill it? Please ...;
;;Jeffrey;\etalk[4]Thank you ...;\etalk[4]Thank you ...;
;;Jeffrey;\etalk[4]Oh, that's a lot better already.;\etalk[4]Oh, that's a lot better already.;
;;Jeffrey;"\etalk[4]Normally the janitor brings it to me during
the break, but I think he took a day off.";"\etalk[4]Normally the janitor brings it to me during
the break, but I think he took a day off.";
;;Jeffrey;"\etalk[4]I've got these special tea bags that are very
calming, they help with my high stress levels.";"\etalk[4]I've got these special tea bags that are very
calming, they help with my high stress levels.";
;;Jeffrey;"\etalk[4]I ...\| can get you one if you'd like, for your
troubles.";"\etalk[4]I ...\| can get you one if you'd like, for your
troubles.";
;;Jeffrey;\etalk[4]Here you go ...;\etalk[4]Here you go ...;
;;Jeffrey;"\etalk[4]Thanks again, I've been having a lot of problems
with high stress lately.";"\etalk[4]Thanks again, I've been having a lot of problems
with high stress lately.";
;;;How did you get those tea bags?;How did you get those tea bags?;
;;;How did you get the key?;How did you get the key?;
;;Jeffrey;"\etalk[4]My doctor recommended this special tea to me
that helps with stress and intense pressure.";"\etalk[4]My doctor recommended this special tea to me
that helps with stress and intense pressure.";
;;Jeffrey;"\etalk[4]Oh, the janitor gave me an emergency key in case
he wasn't at school.";"\etalk[4]Oh, the janitor gave me an emergency key in case
he wasn't at school.";
;;Jeffrey;"\etalk[4]He usually brings me some boiling water when I'm
freaking out.";"\etalk[4]He usually brings me some boiling water when I'm
freaking out.";
;;;Trixie ;Trixie ;
;;Trixie ;"What do I get for trying out new magic spells in
class? I get detention.";"What do I get for trying out new magic spells in
class? I get detention.";
;;Trixie ;This school system is so broken ...;This school system is so broken ...;
;;;Pembleton ;Pembleton ;
;;Pembleton ;\etalk[6]Young man, shouldn't you be outside?;\etalk[6]Young man, shouldn't you be outside?;
;;Pembleton ;"\etalk[6]You should know that sunshine is very good for
your body!";"\etalk[6]You should know that sunshine is very good for
your body!";
;;;The clock lost it's arms.;The clock lost it's arms.;
;;;A trash can.;A trash can.;
;;;Mr. Lee;Mr. Lee;
;;Mr. Lee;"\etalk[4]I wouldn't call myself a ""strict"" teacher, but
sometimes there are people who cross the line.";"\etalk[4]I wouldn't call myself a ""strict"" teacher, but
sometimes there are people who cross the line.";
;;Mr. Lee;"\etalk[4]Like these guys, they deserve to be punished
for ruining my class!";"\etalk[4]Like these guys, they deserve to be punished
for ruining my class!";
;;;Sam;Sam;
;;Sam;"Dude, I still have to wait an entire HOUR
before I can go home.";"Dude, I still have to wait an entire HOUR
before I can go home.";
;;;Lil Johnny;Lil Johnny;
;;Lil Johnny;\etalk[14]It's really not fair! I didn't even do anything!;\etalk[14]It's really not fair! I didn't even do anything!;
;;Lil Johnny;\etalk[14]Rob was talking to me, I didn't say anything!;\etalk[14]Rob was talking to me, I didn't say anything!;
;;;Kyle;Kyle;
;;Kyle;"I'm not really supposed to be here right now, but
I don't really like being outside.";"I'm not really supposed to be here right now, but
I don't really like being outside.";
;;Kyle;"Like, people think I like being a popular kid, but
I'd rather spend my free time alone.";"Like, people think I like being a popular kid, but
I'd rather spend my free time alone.";
;;;hihihi;hihihi;
;;Shopper;"hiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii
iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii";"hiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii
iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii";
;;;"You're now going to the main game.
To return, talk to the boy again.";"You're now going to the main game.
To return, talk to the boy again.";
;;;tbh;tbh;
;;tbh;Yippee! Yippee! Yippee! ;Yippee! Yippee! Yippee! ;
;;;This is tbh's special room.;This is tbh's special room.;
;;;Good job on finding tbh's special room.;Good job on finding tbh's special room.;
;;;It's a signed basketball.;It's a signed basketball.;
;;;Mr. ???;Mr. ???;
;;Mr. ???;"Alright children, are you all ready to listen
to this?";"Alright children, are you all ready to listen
to this?";
;;;Everyone;Everyone;
;;Everyone;...\| Yeah.;...\| Yeah.;
;;Mr. ???;"Let's give it a spin!\.
This is one of my favorites!";"Let's give it a spin!\.
This is one of my favorites!";
;;;I still remember this song.;I still remember this song.;
;;;I closed my eyes, trying to take everything in.;I closed my eyes, trying to take everything in.;
;;;"My teacher once played it for us at the end
of our music class.";"My teacher once played it for us at the end
of our music class.";
;;;It felt so special to me at the time.;It felt so special to me at the time.;
;;;"It's a cheap keyboard.
I only know how to play one song on it.";"It's a cheap keyboard.
I only know how to play one song on it.";
;;;???;???;
;;???;"I think my dad owns the record Mr. ??? is 
about to put on.";"I think my dad owns the record Mr. ??? is 
about to put on.";
;;;It's a flashy electric guitar.;It's a flashy electric guitar.;
;;;It's a yellow bass.;It's a yellow bass.;
;;;A small kit.;A small kit.;
;;???;I can't wait for this day to just end...;I can't wait for this day to just end ...;
;;???;Do you know what subject we have next?;Do you know what subject we have next?;
;;???;"Why do we always have to learn about these
old albums?";"Why do we always have to learn about these
old albums?";
;;???;They're so long and boring!;They're so long and boring!;
;;???;"I think we have math for the next hour...\|
Wait, no! We have English!";"I think we have math for the next hour...\|
Wait, no! We have English!";
;;;You found an MP3 file.;You found an MP3 file.;
;;;You can play this file on your MP3 player.;You can play this file on your MP3 player.;
;;;You don't see a way of playing the file right now ... ;You don't see a way of playing the file right now ... ;
;;;"Later, when I started taking different drugs,
this experience only felt greater.";"Later, when I started taking different drugs,
this experience only felt greater.";
;;;"Listening to music would be my only safe
place.";"Listening to music would be my only safe
place.";
;;???;Come out!;Come out!;
;;???;"He's such a baby! He can't even stand up
for himself!";"He's such a baby! He can't even stand up
for himself!";
;;;"There was one day where I got chased by some
kids.";"There was one day where I got chased by some
kids.";
;;;"I don't remember why they were chasing me, but
it was one of the scariest moments in my life.";"I don't remember why they were chasing me, but
it was one of the scariest moments in my life.";
;;;I hid in the stalls, but they quickly found me.;I hid in the stalls, but they quickly found me.;
;;;"They wouldn't leave me alone, no matter how long
I stayed.";"They wouldn't leave me alone, no matter how long
I stayed.";
;;;I must have been there for hours.;I must have been there for hours.;
;;;"I'd silently stood there crying, so they wouldn't
hear it.";"I'd silently stood there crying, so they wouldn't
hear it.";
;;;No one should have to endure that;No one should have to endure that;
;;;I could never forget this;I could never forget this;
;;;...\. Staying trapped in that moment won't help.;...\. Staying trapped in that moment won't help.;
;;;"I can't change what they did to me, or that other
people will try to hurt me again...";"I can't change what they did to me, or that other
people will try to hurt me again ...";
;;;...\| But I can stop giving them the power to do so.;...\| But I can stop giving them the power to do so.;
;;;I want to move on.;I want to move on.;
;;;...\. I can still feel every second of it.;...\. I can still feel every second of it.;
;;;"The sound of their laughter...\!
The cold air of the restroom...";"The sound of their laughter ...\!
The cold air of the restroom ...";
;;;"...\| No matter how long I'll hide,\. they'll be
waiting here to get me.";"...\| No matter how long I'll hide,\. they'll be
waiting here to get me.";
;;;This is who I am.;This is who I am.;
;;???;Why don't you ever grow up?! Stupidhead!;Why don't you ever grow up?! Stupidhead!;
;;???;"That's what you get for throwing that ball
at my face! Hmph!";"That's what you get for throwing that ball
at my face! Hmph!";
;;???;Ohhhh, you showed him, dude!;Ohhhh, you showed him, dude!;
;;Mr. ???;"It's almost time to wrap up!\.
Come on, give it your best!";"It's almost time to wrap up!\.
Come on, give it your best!";
;;???;My legs hurt...;My legs hurt ...;
;;???;Ugh, I am soooooo bored...;Ugh, I am soooooo bored ...;
;;;I accidentally threw a ball right into a kid's face.;I accidentally threw a ball right into a kid's face.;
;;;"I wasn't paying much attention, since I was
already so tired.";"I wasn't paying much attention, since I was
already so tired.";
;;;"But he couldn't understand that it was an
accident, and started punching me.";"But he couldn't understand that it was an
accident, and started punching me.";
;;;He ended up breaking my arm.;He ended up breaking my arm.;
;;;"The teacher couldn't care less, he wasn't very
good at his job regardless.";"The teacher couldn't care less, he wasn't very
good at his job regardless.";
;;;I didn't deserve to be hurt like that;I didn't deserve to be hurt like that;
;;;No one cared about me then;No one cared about me then;
;;;...\. It wasn't fair.;...\. It wasn't fair.;
;;;"I did hurt him, but he didn't need to target
his anger towards me.";"I did hurt him, but he didn't need to target
his anger towards me.";
;;;...\| Is this where my fear came from?;...\| Is this where my fear came from?;
;;;"I've been scared to do anything active,\. but I had
no idea that this is where it came from...";"I've been scared to do anything active,\. but I had
no idea that this is where it came from ...";
;;;I didn't want to make another mistake like this...;I didn't want to make another mistake like this ...;
;;;"...\. I remember the look on his face,\. the way
he glared at me after I hit him.";"...\. I remember the look on his face,\. the way
he glared at me after I hit him.";
;;;That face is all it takes for me to start panicking.;That face is all it takes for me to start panicking.;
;;;"This is the reason why I shouldn't be trusted.\!
I keep hurting people.";"This is the reason why I shouldn't be trusted.\!
I keep hurting people.";
;;;"After school, my mom brought me to the
hospital.";"After school, my mom brought me to the
hospital.";
;;;"We couldn't afford treating it right away, so
we didn't do much to fix it.";"We couldn't afford treating it right away, so
we didn't do much to fix it.";
;;;Leaving it in a fragile state.;Leaving it in a fragile state.;
;;???;"I don't get why these gym classes always
take so long...";"I don't get why these gym classes always
take so long ...";
;;???;I have no idea, just kinda standing here.;I have no idea, just kinda standing here.;
;;???;... What are we even doing here?;... What are we even doing here?;
;;;It's an old basketball.;It's an old basketball.;
;;Mr. ???;For the last time! What is the answer?!;For the last time! What is the answer?!;
;;Mr. ???;I am actually teaching to literal morons!;I am actually teaching to literal morons!;
;;Mr. ???;"I just said the answer like five minutes ago,
and you can't even remember that?!";"I just said the answer like five minutes ago,
and you can't even remember that?!";
;;Mr. ???;You're a joke, a complete and utter joke!;You're a joke, a complete and utter joke!;
;;;I had almost passed out that day.;I had almost passed out that day.;
;;;The intense pressure was getting to me.;The intense pressure was getting to me.;
;;;"And while it looked like I just wasn't listening
to my teacher, I was actually trying my best.";"And while it looked like I just wasn't listening
to my teacher, I was actually trying my best.";
;;;I can't be defined by a mistake;I can't be defined by a mistake;
;;;I won't be good enough for anyone;I won't be good enough for anyone;
;;;...\. This moment has stayed with me for so long.;...\. This moment has stayed with me for so long.;
;;;"The way the teacher looked at me like I was 
nothing.";"The way the teacher looked at me like I was 
nothing.";
;;;"For years,\. I have lived what he had spoken,
I believed in what he said.";"For years,\. I have lived what he had spoken,
I believed in what he said.";
;;;"...\| But I'm not that person. \!
I am not\. a joke.";"...\| But I'm not that person. \!
I am not\. a joke.";
;;;"...\. The room got so quiet when the teacher
called us morons.";"...\. The room got so quiet when the teacher
called us morons.";
;;;"I couldn't stand up for myself then,\. and I haven't 
for my whole life.";"I couldn't stand up for myself then,\. and I haven't 
for my whole life.";
;;;...\| I am just a joke.;...\| I am just a joke.;
;;;"No one can take me seriously,\. no matter how
hard I try.";"No one can take me seriously,\. no matter how
hard I try.";
;;;The screen shows a bunch of awful stuff.;The screen shows a bunch of awful stuff.;
;;;He won't acknowledge you.;He won't acknowledge you.;
;;;Garbage.;Garbage.;
;;;I shouldn't leave now.;I shouldn't leave now.;
;;;I promised them I would return.;I promised them I would return.;
;;;Are you ready to eat dinner?;Are you ready to eat dinner?;
;;;Dad;Dad;
;;Dad;It's good to have you back.;It's good to have you back.;
;;Dad;"...\| I've been thinking about this moment for a
long time.";"...\| I've been thinking about this moment for a
long time.";
;;Dad;"Even if I wasn't present, I was still listening
to what was happening in the background.";"Even if I wasn't present, I was still listening
to what was happening in the background.";
;;Dad;I remember hearing the door close after you left.;I remember hearing the door close after you left.;
;;Dad;I felt an unexpected emptiness in my body.;I felt an unexpected emptiness in my body.;
;;Dad;"Anyways,\. I was thinking about what I'd say to you
if you would come back.";"Anyways,\. I was thinking about what I'd say to you
if you would come back.";
;;Dad;The truth is, I haven't decided yet.;The truth is, I haven't decided yet.;
;;Dad;"It has always been in the back of my mind, but 
I couldn't figure out how to say ...";"It has always been in the back of my mind, but 
I couldn't figure out how to say ...";
;;Dad;...\| how to say that I'm sorry.;...\| how to say that I'm sorry.;
;;Dad;To both of you.;To both of you.;
;;Dad;...\. I gave you both an unfair life.;...\. I gave you both an unfair life.;
;;Dad;I messed up mine.;I messed up mine.;
;;Dad;Lately I've been thinking about what I've caused.;Lately I've been thinking about what I've caused.;
;;Dad;"I don’t think I’m in the state to be talking about this
right now,\. but this might be my last chance.";"I don’t think I’m in the state to be talking about this
right now,\. but this might be my last chance.";
;;Dad;"I probably gave you so many problems, and I didn't
face myself for it.";"I probably gave you so many problems, and I didn't
face myself for it.";
;;Dad;I'm ashamed to call myself a father.;I'm ashamed to call myself a father.;
;;;I'm sorry.;I'm sorry.;
;;;Cans of beer.;Cans of beer.;
;;;Shards of glass.;Shards of glass.;
;;;She's washing the dishes.;She's washing the dishes.;
;;;A plate.;A plate.;
;;;It's an empty kettle.;It's an empty kettle.;
;;;It's a pan.;It's a pan.;
;;;Mom;Mom;
;;Mom;...\. You came to visit.;...\. You came to visit.;
;;Mom;Just like you promised you would.;Just like you promised you would.;
;;Mom;"I hope you've been able to take care of yourself
after all these years.";"I hope you've been able to take care of yourself
after all these years.";
;;Mom;"I think you would know how much I would worry
about that.";"I think you would know how much I would worry
about that.";
;;Mom;"...\. It's something I think about every day,\. as much
as I tried to hide it from you and your dad.";"...\. It's something I think about every day,\. as much
as I tried to hide it from you and your dad.";
;;Mom;I knew you wanted to move out for a long time.;I knew you wanted to move out for a long time.;
;;Mom;I don't think I was ready to accept that.;I don't think I was ready to accept that.;
;;Mom;Have you thought about that?;Have you thought about that?;
;;Mom;Have you ever thought about how I feel?;Have you ever thought about how I feel?;
;;Mom;When you walked out that door ...;When you walked out that door ...;
;;Mom;"I know it was partially my fault ...\!
I should have been vocal ...";"I know it was partially my fault ...\!
I should have been vocal ...";
;;Mom;But ...;But ...;
;;Mom;I know it wasn't true ...;I know it wasn't true ...;
;;Mom;But you didn't leave\. because of me,\. right?;But you didn't leave\. because of me,\. right?;
;;Mom;"Of course not! No son would ever do that to their
mother ...";"Of course not! No son would ever do that to their
mother ...";
;;Mom;I know you didn't feel safe at home ...;I know you didn't feel safe at home ...;
;;Mom;...\| But why did you have to leave?;...\| But why did you have to leave?;
;;Mom;... I've been so alone.;... I've been so alone.;
;;Mom;\{WHY DID YOU LEAVE ME HERE?;\{WHY DID YOU LEAVE ME HERE?;
;;Mom;\{I HEARD FEAR ...\! SILENCE ...;\{I HEARD FEAR ...\! SILENCE ...;
;;Mom;\{...\. WHY DID YOU NEVER VISIT?;\{...\. WHY DID YOU NEVER VISIT?;
;;Mom;\}It's just that ...;\}It's just that ...;
;;Mom;\}...\. you promised.;\}...\. you promised.;
;;Mom;\}I couldn't stop worrying.;\}I couldn't stop worrying.;
;;Mom;\}I'm glad you're here now ...;\}I'm glad you're here now ...;
;;Mom;\}Go away.;\}Go away.;
;;;Where did they go?;Where did they go?;
;;;It's empty.;It's empty.;
;;;I hope the clock finds them soon.;I hope the clock finds them soon.;
;;;It's a blanket, and some binders.;It's a blanket, and some binders.;
;;;Poor clock ...;Poor clock ...;
;;;"""You need to try harder.""";"""You need to try harder.""";
;;;"""You're not dumb, you just don't care enough.""";"""You're not dumb, you just don't care enough.""";
;;;"""You can do better than this.""";"""You can do better than this.""";
;;;I really couldn't.;I really couldn't.;
;;;"It felt like I wasn't made for this.\!
I could never keep up.";"It felt like I wasn't made for this.\!
I could never keep up.";
;;;It was so frustrating.;It was so frustrating.;
;;;You look down in the hole.;You look down in the hole.;
;;;Robert;Robert;
;;Robert;Meeeeow man!;Meeeeow man!;
;;Robert;How ya doin'?;How ya doin'?;
;;;Shopper;Shopper;
;;Shopper;"I just came back from visiting Dog City, because
Cat City doesn't have any clothing shops!";"I just came back from visiting Dog City, because
Cat City doesn't have any clothing shops!";
;;Shopper;I should totally live there instead...;I should totally live there instead ...;
;;;Loaf Cat;Loaf Cat;
;;Loaf Cat;\etalk[7]How would you rate this loaf?;\etalk[7]How would you rate this loaf?;
;;;1-3;1-3;
;;;4-6;4-6;
;;;7-9;7-9;
;;;10;10;
;;Loaf Cat;\etalk[7]That's just rude!;\etalk[7]That's just rude!;
;;Loaf Cat;\etalk[7]That's pretty low...;\etalk[7]That's pretty low ...;
;;Loaf Cat;\etalk[7]I knew it! I tried my best!;\etalk[7]I knew it! I tried my best!;
;;Loaf Cat;\etalk[7]A perfect score? Holy cow!;\etalk[7]A perfect score? Holy cow!;
;;;Pet the loaf?;Pet the loaf?;
;;;You pet the loaf.;You pet the loaf.;
;;;Mr. Penguin;Mr. Penguin;
;;Mr. Penguin;\etalk[8]I've waddled a long way, just to get to Cat City.;\etalk[8]I've waddled a long way, just to get to Cat City.;
;;Mr. Penguin;\etalk[8]I hope it is worth my time!;\etalk[8]I hope it is worth my time!;
;;;Tiny Person;Tiny Person;
;;Tiny Person;Hey! Be careful!;Hey! Be careful!;
;;Tiny Person;I'm already sitting here!;I'm already sitting here!;
;;;Fox;Fox;
;;Fox;"It's a shame no one ever goes to this cafe, they've
got everything you could ever ask for!";"It's a shame no one ever goes to this cafe, they've
got everything you could ever ask for!";
;;Fox;The best tea, kind staff, clean tables...;The best tea, kind staff, clean tables ...;
;;;Bailey;Bailey;
;;Bailey;\etalk[12]I'm visiting the city for the first time!;\etalk[12]I'm visiting the city for the first time!;
;;Bailey;"\etalk[12]I've always lived on the farm my parents owned,
but it's nice to have a change of scenery!";"\etalk[12]I've always lived on the farm my parents owned,
but it's nice to have a change of scenery!";
;;;Willow;Willow;
;;Willow;\etalk[13]Meeeeeeow!;\etalk[13]Meeeeeeow!;
;;Haven;Hi! I see you're also visiting the city?;Hi! I see you're also visiting the city?;
;;Haven;"I just went to the cat cafe, but the pastries
were out of stock!";"I just went to the cat cafe, but the pastries
were out of stock!";
;;Haven;"Can you believe that?\!
My day is ruined!";"Can you believe that?\!
My day is ruined!";
;;Haven;The only thing that could \c[1]save\c[0] my day, is you!;The only thing that could \c[1]save\c[0] my day, is you!;
;;Haven;Do you wanna \c[1]save\c[0]?;Do you wanna \c[1]save\c[0]?;
;;;You'd pick up the lid, but you don't have any arms.;You'd pick up the lid, but you don't have any arms.;
;;;Should I have some tea?;Should I have some tea?;
;;;"""Staff only""";"""Staff only""";
;;;Enter the kitchen?;Enter the kitchen?;
;;;I should probably get rid of this ladder ...;I should probably get rid of this ladder ...;
;;;Throw away;Throw away;
;;;Keep ladder;Keep ladder;
;;;Waiter;Waiter;
;;Waiter;\etalk[8]Welcome to our cafe, sir.;\etalk[8]Welcome to our cafe, sir.;
;;;"It seems someone is sitting here.\!
There are a couple of cards with jokers on them.";"It seems someone is sitting here.\!
There are a couple of cards with jokers on them.";
;;Waiter;\etalk[10]Welcome to our cafe, sir.;\etalk[10]Welcome to our cafe, sir.;
;;;Cat;Cat;
;;Cat;\etalk[11]Hello, and welcome to our Cat Cafe!;\etalk[11]Hello, and welcome to our Cat Cafe!;
;;Cat;"\etalk[11]I'll have to disappoint you, but we can't
actually serve you anything except for tea today.";"\etalk[11]I'll have to disappoint you, but we can't
actually serve you anything except for tea today.";
